Num;Referencia;Requisito;Documento;NFR
141;JUE-141;Minimum system requirement for processor: 100 MHz;1999 - multi-mahjong.html;No funcional
142;JUE-142;Minimum system requiremet for RAM: 32 Mb;1999 - multi-mahjong.html;No funcional
143;JUE-143;Minimum system requirement for hard disk: 10 MB uncompressed;1999 - multi-mahjong.html;No funcional
144;JUE-144;Minimum system requirement for video card: 16-bit with minimum resolution of 800x600;1999 - multi-mahjong.html;No funcional
145;JUE-145;Minimum system requirement for connection to the Internet: TCP/IP LAN connection or 28.8 Kbps modem (for multiplayer game only);1999 - multi-mahjong.html;No funcional
146;JUE-146;The CO must respond within 1 minute in both single and multi player modes.;1999 - multi-mahjong.html;No funcional
147;JUE-147;The MultiMahjongServer must be able to handle requests in multi player mode of up to 10 simultaneous games (max 40 players).;1999 - multi-mahjong.html;No funcional
148;JUE-148;The MultiMahjongClient must be able to calculate possible Chow/Pung/Kong/Mahjong moves within 5 seconds of being informed of the last discard.;1999 - multi-mahjong.html;Funcional
149;JUE-149;The MultiMahjongServer will have no graphical user interface and will be run using a command prompt;1999 - multi-mahjong.html;Funcional
150;JUE-150;The MultiMahjongClient will have a graphical user interface that the user will be able to interact with using a mouse and a keyboard.;1999 - multi-mahjong.html;Funcional
151;JUE-151;The MultiMahjongClient will have sound effects associated with the game actions;1999 - multi-mahjong.html;Funcional
152;JUE-152;The MultiMahjongClient will have animation also associated with game actions.;1999 - multi-mahjong.html;Funcional
153;JUE-153;Space Fractions requires a web browser capable of running Flash movies;2001 - space fractions.pdf;No funcional
154;JUE-154;This program will run on any Internet-accessible computer with a web browser that supports JavaScript and Macromedia Flash 5.;2001 - space fractions.pdf;No funcional
155;JUE-155;"No portion of the interface will require the keyboard; all input will be accomplished via mouse clicks.";2001 - space fractions.pdf;No funcional
156;JUE-156;The game will display a short movie to set up the storyline of the game and provide information to help the user complete the fraction questions.;2001 - space fractions.pdf;Funcional
157;JUE-157;When the user clicks a mouse button while in the short movie, they will skip the movie and proceed to the main menu;2001 - space fractions.pdf;Funcional
158;JUE-158;A menu that displays a brief section offering help on playing the game, and provides a link to the main game component and the Denominators' web page;2001 - space fractions.pdf;Funcional
159;JUE-159;The user can click on the corresponding button to begin the game or follow the link to the Denominators' web page.;2001 - space fractions.pdf;Funcional
160;JUE-160;During the game the user will respond to questions by clicking on the desired answer from a set of choices;2001 - space fractions.pdf;Funcional
161;JUE-161;If the user selects the correct answer, a message to this effect will be displayed and the component will move to the next question.;2001 - space fractions.pdf;Funcional
162;JUE-162;If the incorrect answer is selected, this component will inform the user of this and give them another chance to answer the question. However, their score will not count this question as being answered correctly.;2001 - space fractions.pdf;Funcional
163;JUE-163;"At certain ""critical points,"" this component will choose different directions in the plot based on whether the question at the critical point was answered correctly.";2001 - space fractions.pdf;Funcional
164;JUE-164;After the user has proceeded through a set number of questions, they will be directed to the ending scene component.;2001 - space fractions.pdf;Funcional
165;JUE-165;There will be a screen offering a conclusion to the game's plot based on performance at certain critical points in the game sequence, where the user's score is displayed and the user is given a chance to exit or return to the main menu.;2001 - space fractions.pdf;Funcional
166;JUE-166;There will be a web-accessible tool to allow questions in the game sequence to be updated by a game administrator;2001 - space fractions.pdf;Funcional
167;JUE-167;"The umbrella component will provide links to mature S2S projects dealing with mathematics for sixth graders, organized by topic (for example, all fractionsrelated projects will be grouped together).";2001 - space fractions.pdf;Funcional
168;JUE-168;Only one person can use a single instance of the product;2001 - space fractions.pdf;No funcional
169;JUE-169;The product will be as secure as the web browser that will run the product.;2001 - space fractions.pdf;No funcional
170;JUE-170;The product will be available over the Internet via the S2S website;2001 - space fractions.pdf;No funcional
1;MON-1;Broad system-level needs, such as flexible configuration, should be addressed by systems supporting OM.;2005 - phin.pdf;Funcional
2;MON-2;Systems supporting OM need a variety of data to support investigations, including data regarding demographics, cases, exposures, investigations, agents, contacts, specimen/sample collection, laboratory tests, travel and conveyance, and restriction monitoring.;2005 - phin.pdf;Funcional
3;MON-3;Systems supporting OM should support case investigation, maintain detailed and comprehensive linkages, trace contacts, and quarantine and isolation monitoring activities.;2005 - phin.pdf;Funcional
4;MON-4;Systems supporting OM should enable investigators to produce both aggregated and individual reports about affected entities and events.;2005 - phin.pdf;Funcional
5;MON-5;OM information must be exchangeable, based on established standards, between systems involved in the investigation, identification, confirmation, and reporting of a health event.;2005 - phin.pdf;Funcional
6;MON-6;Standard vocabulary lists and data structures have been defined by standards organizations. Where they exist, systems supporting OM should use them. As additional standards are defined, they should be accepted and implemented;2005 - phin.pdf;Funcional
7;MON-7;Personnel, roles, activities, and responsibilities necessary to support all aspects of OM should be clearly defined.;2005 - phin.pdf;Funcional
8;MON-8;Security of OM data includes the protection of data from corruption and access by unauthorized individuals, as well as the protection of the actual systems supporting OM from sabotage or other failure. A plan must be established for continuing activities when systems supporting OM are unavailable.;2005 - phin.pdf;Funcional
9;MON-9;Patients, organizations, and personnel must be protected from fraudulent and unauthorized use of their information.;2005 - phin.pdf;Funcional
10;MON-10;Systems designed to support OM must offer configuration flexibility so that new data fields, entities, entity types and relationship types may be added to capture information unique to each particular health event;2005 - phin.pdf;Funcional
11;MON-11;Systems supporting OM must support structured data entry for common forms and fields to ensure data integrity, validity, and standardization;2005 - phin.pdf;Funcional
12;MON-12;Systems supporting OM should support multiple deployment options (e.g., client server, disconnected, and potentially web based).;2005 - phin.pdf;Funcional
13;MON-13;Systems supporting OM should provide the ability for computers in disconnected mode to reconnect to a server to share OM data among other computers that operate in disconnected mode.;2005 - phin.pdf;Funcional
14;MON-14;OM data should be synchronized so that all instances of OM applications working from the same server are able to share and use the same data.;2005 - phin.pdf;Funcional
15;MON-15;Systems supporting OM should be able to electronically record and store data from remote devices that may be uploaded to an aggregating system.;2005 - phin.pdf;Funcional
16;MON-16;Systems supporting OM should be capable of using configurable, domain-specific vocabulary.;2005 - phin.pdf;Funcional
17;MON-17;Systems supporting OM must have the capability to capture demographic data about persons involved in an OM investigation, including: Subject ID, name, address, date of birth, gender, phone number, race, ethnicity, and country of citizenship.;2005 - phin.pdf;Funcional
18;MON-18;Systems supporting OM must have the capability to capture data about organizations (e.g., a local health department, a university, a professional association) involved in an OM investigation, including: organization name, location, and contact information.;2005 - phin.pdf;Funcional
19;MON-19;Systems supporting OM must have the capability to capture data about locations involved in an OM investigation, including: name (if applicable), type (e.g., floor, building, room, store), street address, city, state, zip code, country, GPS coordinates, and other specific details;2005 - phin.pdf;Funcional
20;MON-20;Systems supporting OM must have the capability to capture data about any animals involved in an OM investigation, including: type (dog, monkey, etc), age, gender, owner’s name and address, color, weight, and species. A Subject ID should also be collected for animals in an OM investigation.;2005 - phin.pdf;Funcional
21;MON-21;Systems supporting OM must have the capability to capture data for any object involved in an OM investigation, such as a letter, invoice, food item, or any object that cannot be classified as a “person, organization, place, or animal.”;2005 - phin.pdf;Funcional
22;MON-22;Systems supporting OM must have the capability to capture data about any conveyance involved in an OM investigation, including: type of conveyance, route taken (e.g., flight number), etc.;2005 - phin.pdf;Funcional
23;MON-23;Systems supporting OM must have the capability to capture data about any public or private gathering of people (e.g., church social, ball game) involved in an OM investigation, including: time, location, nature of the event, etc.;2005 - phin.pdf;Funcional
24;MON-24;Systems supporting OM must have the capability to capture data about any living things other than persons or animals that are involved in an OM investigation, including: type of living thing, and other customizable data collection questions.;2005 - phin.pdf;Funcional
25;MON-25;Systems supporting OM must have the capability to capture an entity’s travel history to support investigations of entities infected, exposed or potentially exposed.;2005 - phin.pdf;Funcional
26;MON-26;When a health event is investigated, it must be assigned an event identifier (i.e., Event ID) that is unique within the jurisdiction.;2005 - phin.pdf;Funcional
27;MON-27;Data describing the health event should be captured, including the reason for the investigation, the category of event (e.g. environmental, infectious), the date the event began, the suspected agent (if known) or investigation focus, the geographic area impacted by the event, as well as the event status;2005 - phin.pdf;Funcional
28;MON-28;Systems supporting OM should have the ability to record the case definition for a health event.;2005 - phin.pdf;Funcional
29;MON-29;Systems supporting OM should have the ability to capture changes to the case definition that occur as the health event evolves;2005 - phin.pdf;Funcional
30;MON-30;Travel history data should include information such as the method of transportation (e.g. bus, plane, boat, car), flight number, departure and arrival dates and times, and the origination and destination locations (city, state, and country).;2005 - phin.pdf;Funcional
31;MON-31;Travel history data to be collected for an animal or object should include shipping invoices, animal shelter delivery and adoption receipts, and delivery schedules (including delivery vehicle and driver information).;2005 - phin.pdf;Funcional
32;MON-32;Detailed conveyance data must be collected when relevant to the investigation, including the carrier identifier, the type of conveyance (such as airplane, bus, or train, among countless others), as well as the make, model, year, and identification number (e.g., VIN) of each vehicle with which the entity was in contact (if this information is relevant to the investigation).;2005 - phin.pdf;Funcional
33;MON-33;Because attributes of both case and exposure data may describe the same entity, systems supporting OM must have the ability to avoid capturing redundant entity demographic information.;2005 - phin.pdf;Funcional
34;MON-34;Case data about the entity should include: a case identifier (i.e., Case ID) that is unique within the jurisdiction being reported, the suspected agent, case diagnosis, health status (e.g., no symptoms, acute illness), case status (e.g., confirmed, probable, suspect), investigation dates, clinical history, symptom onset date and time, epidemiological links to other cases, and priority (e.g., high, medium, low).;2005 - phin.pdf;Funcional
35;MON-35;There must be a means to update the case diagnosis either manually or automatically if the case definition changes during an event.;2005 - phin.pdf;Funcional
36;MON-36;Epidemiological (epi) data must be collected to assist in the case investigation of events. Standard epi data to be collected includes: onset date and time of symptoms, type of symptoms, risk factors, medical history data, laboratory data, procedure data, and questionnaire responses.;2005 - phin.pdf;Funcional
37;MON-37;Systems supporting OM must allow for dynamic, event-specific case investigation data to be captured.;2005 - phin.pdf;Funcional
38;MON-38;In the context of a case, all entities exposed to a case must be recorded and linked to the case.;2005 - phin.pdf;Funcional
39;MON-39;Demographic information should be collected about the investigator, including their name, address, and contact information, so that the investigator may be contacted to answer questions or to provide additional information.;2005 - phin.pdf;Funcional
40;MON-40;Both the jurisdiction investigating the event and the jurisdiction reporting the cases and associated investigations must be captured. For example, if a person becomes ill during travel in one jurisdiction but is the resident of another, the illness will be reported by the state (jurisdiction) of residence and investigated by the jurisdiction visited.;2005 - phin.pdf;Funcional
41;MON-41;Systems supporting OM should have the ability to classify entities associated with the investigation as investigation controls. For example, controls share demographic characteristics with the subject of the case, but are not infected with the agent that is the focus of the investigation.;2005 - phin.pdf;Funcional
42;MON-42;Exposure investigation data to be captured must include information related to exposure levels, type of exposure (e.g., intimate, social, household, common conveyance), place of exposure, length of time the entity was exposed, frequency of exposure, and the entity’s proximity to the source of exposure.;2005 - phin.pdf;Funcional
43;MON-43;Detailed data must be collected about the source of exposure as well as the exposed entity to support contact exposure tracing. Exposure data related to both the potential source and the potential spread include the entity’s type, Subject ID, Contact ID, contact’s name and address, exposure dates and times, health status, and priority code.;2005 - phin.pdf;Funcional
44;MON-44;Epi data must be collected to assist in the exposure investigation of health events. Standard epi data to be collected for exposure investigation parallels the data to be collected for case investigation and includes: onset date and time of symptoms, type of symptoms, risk factors, laboratory data, procedure data, and questionnaire responses;2005 - phin.pdf;Funcional
45;MON-45;Systems supporting OM must support capturing dynamic, event-specific data that describes contact between two subjects;2005 - phin.pdf;Funcional
46;MON-46;Systems supporting OM should support the monitoring and follow-up activities required when tracking the status of cases and exposed individuals.;2005 - phin.pdf;Funcional
47;MON-47;Monitoring data should be collected about cases and exposed individuals who are isolated or quarantined because of a health event.;2005 - phin.pdf;Funcional
48;MON-48;Follow-up data may be received from take response exams of persons who received a countermeasure that requires such an exam (i.e., smallpox vaccination).;2005 - phin.pdf;Funcional
49;MON-49;Follow-up data should be collected from subjects or their proxies to track symptoms and compliance with recommended treatment plans or prophylaxis.;2005 - phin.pdf;Funcional
50;MON-50;Specimens/samples collected for laboratory testing must be assigned an identifier (i.e., Specimen ID) that is unique within the jurisdiction;2005 - phin.pdf;Funcional
51;MON-51;The subject of a specimen/sample collected for laboratory testing must be linked to the specimen/sample by an identifier (i.e., Subject ID) that is unique within the jurisdiction.;2005 - phin.pdf;Funcional
52;MON-52;Systems supporting OM must be able to store data about the specimens/samples that are collected for laboratory testing. Examples of this data are: Specimen ID, Subject ID, purpose for test, collection date and time, subject type (e.g., human, plant, animal, food), specimen category, specimen type, suspected agent, risk indicator (e.g., infectious, radioactive, corrosive), person performing specimen/sample collection (including contact information), location of collection, and volume and quantity details.;2005 - phin.pdf;Funcional
53;MON-53;Clinical specimen data should include information about the specimen source/site from which the specimen was taken, symptom date of onset, and whether the sample is acute or convalescent.;2005 - phin.pdf;Funcional
54;MON-54;Environmental sample data should include information about the collection method, location (geocoded if possible) from which the sample was taken, source (e.g., rain or well for water, radiation release, asbestos, chair or desk in a specified location), nature of the sample (e.g., soil, water, air), quality control data, collection begin and end date and time for air samples, and original volume and volume of concentrate tested for water samples.;2005 - phin.pdf;Funcional
55;MON-55;Food sample data should include information about the lot number, batch number, manufacturer name, shipping invoice, temperature, sample type (e.g., dairy – milk, red meat, spice), and product storage condition.;2005 - phin.pdf;Funcional
56;MON-56;Bar-coding should be supported for the capture of detailed specimen/sample data to improve the quality and efficiency of data collection;2005 - phin.pdf;Funcional
57;MON-57;Chain of custody information for all specimens/samples should be captured;2005 - phin.pdf;Funcional
58;MON-58;Chain of custody information for forensic and select agent samples must be captured, including the person who collected the sample, the location of collection, all people who came into contact with the sample during the preparation for shipment to the laboratory, and the acceptance of the package by the shipper.;2005 - phin.pdf;Funcional
59;MON-59;Systems supporting OM must be able to create a laboratory test request for a specimen/sample or group of specimens/samples.;2005 - phin.pdf;Funcional
60;MON-60;Information about batch shipments of specimens/samples that are transferred to test laboratories or other facilities must be collected, including the shipper (e.g., UPS, FedEx), shipment tracking number, and the sending organization’s contact information.;2005 - phin.pdf;Funcional
61;MON-61;Systems supporting OM should be able to support the inclusion of labeling, packaging and shipping instructions (e.g., container type, storage condition, preservative), and the shipping manifest with batch shipments of specimens/samples;2005 - phin.pdf;Funcional
62;MON-62;Systems supporting OM must be able to store laboratory result(s) and link the result(s) to the original laboratory test request. More information about receiving and linking laboratory test requests is found in section 2.5 System Integration and Data Exchange of this document;2005 - phin.pdf;Funcional
63;MON-63;Systems supporting OM must store data about laboratory results. Examples of this data include the Specimen ID, Subject ID, test date and time, test type (LOINC), data for each organization involved in the testing of the specimen/sample (e.g., testing or reference laboratory name, location, contact information), laboratory results and result values (SNOMED), other data such as unit of measure for result value, overall interpretation, and any relevant notes;2005 - phin.pdf;Funcional
64;MON-64;If the specimen/sample collection record exists, the laboratory result must be linked to the specimen collection record by the Specimen ID.;2005 - phin.pdf;Funcional
65;MON-65;If the specimen/sample collection record does not exist, the laboratory result must be linked to the subject by the Subject ID.;2005 - phin.pdf;Funcional
66;MON-66;All levels of granularity of results (e.g., specimen/sample level, assay level) must be supported;2005 - phin.pdf;Funcional
67;MON-67;Systems supporting OM should capture or be linked to data regarding the prophylaxis or treatment to cases, exposed individuals, or at risk persons, including the person who ordered the prophylaxis or treatment, and the name, date, type, duration, and dosage of the treatment or prophylaxis given.;2005 - phin.pdf;Funcional
68;MON-68;Contraindication information should be collected to indicate why vaccinations, treatments, or antidotes may not have been administered or why the patient may not have complied with prescribed interventions;2005 - phin.pdf;Funcional
69;MON-69;If an affected person suffers a negative reaction to a vaccine or prophylaxis that was administered, adverse event data may be collected and used to determine the need for additional interventions or to determine if there is a problem with the pharmaceutical, batch, or the administering facility or person.;2005 - phin.pdf;Funcional
70;MON-70;Systems supporting OM should capture information such as the date and time of an activity, activity type, who initiated the activity, and contact information to generate activity logs for management purposes;2005 - phin.pdf;Funcional
71;MON-71;Activity logs, which are tools for investigators to track their actions during a case, should be supported. For example, investigators may log calls made to monitor symptoms or calls made to schedule follow-up visits;2005 - phin.pdf;Funcional
72;MON-72;Activity logs may also provide information needed to support communication with various jurisdictions in the event that the investigation crosses jurisdictional boundaries;2005 - phin.pdf;Funcional
73;MON-73;Electronic questionnaires must be developed and validated. They will be designed by investigators to collect common data elements (e.g., patient demographics, test results, exposure contacts), agent-specific data elements (e.g., specific laboratory test), and other customized data elements;2005 - phin.pdf;Funcional
74;MON-74;Electronic questionnaires should provide the capability to accept digital signatures;2005 - phin.pdf;Funcional
75;MON-75;Systems supporting OM must provide the ability to control the configuration of and revisions to investigation-specific questionnaires;2005 - phin.pdf;Funcional
76;MON-76;Systems supporting OM must provide the ability to publish investigation-specific questionnaires and implementation guides;2005 - phin.pdf;Funcional
77;MON-77;Case investigation should be supported by reusable questionnaire libraries that use common terminology (where available) to maximize the efficiency of data exchange.;2005 - phin.pdf;Funcional
78;MON-78;Systems supporting OM should provide a manual or automatic means of updating the status of case records as the case definition changes.;2005 - phin.pdf;Funcional
79;MON-79;Systems supporting OM should track the changes made to the status of case records as a result of changes in the case definition.;2005 - phin.pdf;Funcional
80;MON-80;Systems supporting OM must support dynamically defined associations between entities for the purpose of defining relationships. For example, person-to-person (e.g., family relationship, exposure relationship), person-to-place (e.g., household, common place), animal-to-person, object-to-place, person-to-travel;2005 - phin.pdf;Funcional
81;MON-81;Entity-to-epi data links must match the entity to their symptoms, survey questions, specimens/samples collected, laboratory results, and prophylaxis and treatment data.;2005 - phin.pdf;Funcional
82;MON-82;Each new case must be able to link an assigned Entity ID to an Event ID within the scope of the investigation.;2005 - phin.pdf;Funcional
83;MON-83;Systems supporting OM require the ability to capture information about possible cases and potential contacts from the identification process through the treatment and follow-up process, as supported by linkages among entities, events, and actions.;2005 - phin.pdf;Funcional
84;MON-84;Laboratory results must be linked to corresponding specimens/samples including multiple results from one specimen/sample), and subjects when the participating laboratory returns the results. These linkages must unambiguously associate multiple laboratory results to case and contact identifiers.;2005 - phin.pdf;Funcional
85;MON-85;Each investigation subject may be associated with exposure contacts, including unambiguous links to contacts in other jurisdictions;2005 - phin.pdf;Funcional
86;MON-86;Contacts of exposed entities (e.g., people, animals, places) may be traced, investigated, and monitored;2005 - phin.pdf;Funcional
87;MON-87;Systems supporting OM should be able to create new contacts from existing case records, and should also identify the contact type.;2005 - phin.pdf;Funcional
88;MON-88;Systems supporting OM must support contact exposure tracing by allowing one contact to be linked to multiple cases, and allowing multiple contacts to be linked to a single case.;2005 - phin.pdf;Funcional
89;MON-89;Systems supporting OM should be able to produce contact work lists for each investigator to use, and should allow sorting by priority or geography;2005 - phin.pdf;Funcional
90;MON-90;Systems supporting OM should allow for analytical searches based upon multiple criteria.;2005 - phin.pdf;Funcional
91;MON-91;Systems supporting OM should have the ability to produce charts, maps, and graphs that illustrate OM data, such as epi-curves and the effect of vaccination or prophylaxis on the number of new cases (demonstrating the effectiveness in containing the health event) or maps that illustrate the number of cases by zip code;2005 - phin.pdf;Funcional
92;MON-92;Systems supporting OM should generate electronic data dictionaries for dynamic data (or other user-defined data descriptions to assist with effective data exchange), line lists, activity logs, aggregate data, and call-back lists to assist the emergency response group and investigators in responding to and containing a health event.;2005 - phin.pdf;Funcional
93;MON-93;Reports generated by systems supporting OM should clearly indicate the number of cases, the number of contacts per case, the number of cases with no known epi-link at the time of diagnosis, the laboratory results, and the number of vaccinations and/or treatments administered.;2005 - phin.pdf;Funcional
94;MON-94;Systems supporting OM should have the ability to produce pre-formatted queries and reports to allow faster and more accurate reporting, while still allowing the flexibility of ad-hoc reporting.;2005 - phin.pdf;Funcional
95;MON-95;Systems supporting OM should have the ability to produce individual reports for each emergency team member or investigator;2005 - phin.pdf;Funcional
96;MON-96;Systems supporting OM should have the ability to compare characteristics of exposed and non-exposed (i.e., controls) persons;2005 - phin.pdf;Funcional
97;MON-97;Systems supporting OM must have the ability to print questionnaires for multiple uses, including taking to the field, use during phone interviews, etc;2005 - phin.pdf;Funcional
98;MON-98;Systems supporting OM must be able to aggregate data. Examples of aggregated data to be supported are: number of cases, number of contacts per case, and number of vaccinations and/or treatments administered;2005 - phin.pdf;Funcional
99;MON-99;Health event data should be aggregated into a centralized data store (i.e., data warehouse) designed specifically to support analysis of events over time;2005 - phin.pdf;Funcional
100;MON-100;Data should be accessible for use with commonly available analytical tools (e.g., SAS, SPSS, EPI-INFO, MS Access, MS Excel, Crystal Reports).;2005 - phin.pdf;Funcional
101;MON-101;Systems supporting OM must be able to accept data from other partner systems supporting OM.;2005 - phin.pdf;Funcional
102;MON-102;The system must be able to create and send messages for laboratory test requests.;2005 - phin.pdf;Funcional
103;MON-103;The system should be able to receive, parse and process messages for laboratory test request responses, in accordance with PHIN Laboratory Test Order Response Message Implementation Guide.;2005 - phin.pdf;Funcional
104;MON-104;The system must be able to receive, parse and process messages for laboratory results.;2005 - phin.pdf;Funcional
105;MON-105;Systems supporting OM should be able to exchange messages for laboratory results with systems supporting surveillance, early event detection (EED), and other preparedness areas;2005 - phin.pdf;Funcional
106;MON-106;Systems supporting OM must be able to exchange messages for confirmed, probable and suspect cases;2005 - phin.pdf;Funcional
107;MON-107;Systems supporting OM must exchange messages for investigations and for exposure contacts.;2005 - phin.pdf;Funcional
108;MON-108;Systems supporting OM must be able to receive, parse and process messages for countermeasures that have been administered.;2005 - phin.pdf;Funcional
109;MON-109;Systems supporting OM must be able to create and send messages for countermeasure administration requests.;2005 - phin.pdf;Funcional
110;MON-110;Systems supporting OM must be able to exchange aggregated data. Examples of aggregated data to be supported are: number of cases, number of contacts per case, and number of vaccinations and/or treatments administered.;2005 - phin.pdf;Funcional
111;MON-111;Systems supporting OM should be able to provide the aggregate data necessary for health event monitoring to systems that support response tracking, such as the number of suspect cases, number of persons under isolation or quarantine, and the number of patients receiving countermeasures.;2005 - phin.pdf;Funcional
112;MON-112;Mapping interfaces and data dictionaries must be clearly defined and included in data exchanges to indicate and describe both standard and customized fields because systems supporting OM are configurable to meet the individual needs of each event and therefore collect data specific to each event;2005 - phin.pdf;Funcional
113;MON-113;Message components should be grouped by observation type (e.g., laboratory, symptom, exposure, risk, treatment) by systems supporting OM.;2005 - phin.pdf;Funcional
114;MON-114;Systems supporting OM should support multiple file formats for import and export, such as databases, spreadsheets, messages, and text files, among others.;2005 - phin.pdf;Funcional
115;MON-115;Data exchange should support analysis and information sharing of possible health events at all levels of public health (e.g., national, state, local).;2005 - phin.pdf;Funcional
116;MON-116;The Clarus system shall implement quality checking processes as soon as data become available.;2005 - clarus low.pdf;Funcional
117;MON-117;The Clarus system shall record the methods applied when deriving quality checking information.;2005 - clarus low.pdf;Funcional
118;MON-118;The Clarus system shall be able to implement quality checking rules for each environmental parameter.;2005 - clarus low.pdf;Funcional
119;MON-119;The Clarus system shall be able to implement quality checking rules for specific environmental situations.;2005 - clarus low.pdf;Funcional
120;MON-120;The Clarus system shall be able to implement quality checking rules specific to observation locations.;2005 - clarus low.pdf;Funcional
121;MON-121;The Clarus system shall be able to base its quality checking process on historical environmental data.;2005 - clarus low.pdf;Funcional
122;MON-122;The Clarus system shall enable administrators to manage security groups.;2005 - clarus low.pdf;Funcional
123;MON-123;The Clarus system shall be able to restrict environmental data publication based on source.;2005 - clarus low.pdf;Funcional
124;MON-124;The Clarus system shall record statistics about its operation.;2005 - clarus low.pdf;Funcional
125;MON-125;The Clarus system shall log data transactions;2005 - clarus low.pdf;Funcional
126;MON-126;The Clarus system shall be able to implement quality checking rules for each environmental parameter;2005 - clarus low.pdf;Funcional
127;MON-127;The Clarus system shall collect, quality check, and disseminate environmental data.;2005 - clarus low.pdf;Funcional
128;MON-128;The Clarus system shall provide environmental data quality flags.;2005 - clarus low.pdf;Funcional
129;MON-129;The Clarus system shall be able to implement quality checking rules specific to each environmental parameter.;2005 - clarus low.pdf;Funcional
130;MON-130;The Clarus system shall enable administrators to manage security groups.;2005 - clarus low.pdf;Funcional
131;MON-131;The Clarus system shall provide a user interface for administration.;2005 - clarus low.pdf;Funcional
132;MON-132;The Clarus system shall manage environmental data and metadata according to the Clarus data sharing agreements.;2005 - clarus low.pdf;Funcional
133;MON-133;The Clarus system shall be able to detect data submission errors.;2005 - clarus low.pdf;Funcional
134;MON-134;The Clarus system shall be able to access in-situ environmental observations from data collectors.;2005 - clarus low.pdf;Funcional
135;MON-135;The Clarus system shall accept environmental data derived from images.;2005 - clarus low.pdf;Funcional
136;MON-136;CS shall accept surface condition data derived from surface images.;2005 - clarus low.pdf;Funcional
137;MON-137;CS shall accept atmospheric condition data derived from atmospheric images.;2005 - clarus low.pdf;Funcional
138;MON-138;The Clarus system shall minimize the time for data acquisition.;2005 - clarus low.pdf;No funcional
139;MON-139;The Clarus system shall process data as they are received.;2005 - clarus low.pdf;Funcional
140;MON-140;The Clarus system shall collect pavement-related observations;2005 - clarus low.pdf;Funcional
141;MON-141;The Clarus system shall accept environmental data from railway systems or in-situ ESS along tracks.;2005 - clarus low.pdf;Funcional
142;MON-142;The Clarus system shall accept environmental data from railroad vehicles;2005 - clarus low.pdf;Funcional
143;MON-143;The Clarus system shall accept environmental data from (roadway) vehicles.;2005 - clarus low.pdf;Funcional
144;MON-144;The Clarus system shall accept environmental data from maintenance and construction vehicles.;2005 - clarus low.pdf;Funcional
145;MON-145;The Clarus system shall accept environmental data from service patrol vehicles.;2005 - clarus low.pdf;Funcional
146;MON-146;The Clarus system shall accept environmental data from transit vehicles.;2005 - clarus low.pdf;Funcional
147;MON-147;The Clarus system shall accept environmental data from emergency vehicles.;2005 - clarus low.pdf;Funcional
148;MON-148;The Clarus system shall be able to receive weather data from weather service providers.;2005 - clarus low.pdf;Funcional
149;MON-149;The Clarus system shall provide notification of data quality conditions to data contributors;2005 - clarus low.pdf;Funcional
150;MON-150;The Clarus system baseline data types shall be defined by the NTCIP ESS 1204 standard.;2005 - clarus low.pdf;No funcional
151;MON-151;The Clarus system data definitions shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).;2005 - clarus low.pdf;No funcional
152;MON-152;The Clarus system shall enable quality managers to review which quality checks passed or failed.;2005 - clarus low.pdf;Funcional
153;MON-153;The Clarus system shall accept only observations that include location, timestamp, and source metadata.;2005 - clarus low.pdf;Funcional
154;MON-154;The Clarus system shall accept only observations of identified measurement types and units.;2005 - clarus low.pdf;Funcional
155;MON-155;The Clarus system shall be able to acquire, process, and disseminate environmental data from across North America.;2005 - clarus low.pdf;Funcional
156;MON-156;The Clarus system shall accept data through a Clarus standard interface;2005 - clarus low.pdf;Funcional
157;MON-157;The Clarus system shall transfer data as efficiently as possible.;2005 - clarus low.pdf;No funcional
158;MON-158;The Clarus system shall employ industry standards to minimize implementation impact to users and providers.;2005 - clarus low.pdf;Funcional
159;MON-159;The Clarus system shall be able to disseminate data based on spatial queries.;2005 - clarus low.pdf;Funcional
160;MON-160;The Clarus system shall be able to automatically recover from an unexpected shutdown.;2005 - clarus low.pdf;Funcional
161;MON-161;The Clarus system shall employ industry standards to minimize implementation impact to users and providers.;2005 - clarus low.pdf;Funcional
162;MON-162;The Clarus system shall disseminate environmental metadata in response to polling.;2005 - clarus low.pdf;Funcional
163;MON-163;The Clarus system shall disseminate data using standard Internet protocols;2005 - clarus low.pdf;No funcional
164;MON-164;The Clarus system shall be able to provide sensor equipment metadata in response to a request;2005 - clarus low.pdf;Funcional
165;MON-165;The Clarus system shall minimize the time for data dissemination.;2005 - clarus low.pdf;No funcional
166;MON-166;The Clarus system shall transfer data as efficiently as possible;2005 - clarus low.pdf;No funcional
167;MON-167;The Clarus system shall respond to queries for environmental metadata from the available metadata.;2005 - clarus low.pdf;Funcional
168;MON-168;The Clarus system shall respond to a request for information within five minutes.;2005 - clarus low.pdf;No funcional
169;MON-169;The Clarus system shall maintain a dynamic library of data for at least seven days.;2005 - clarus low.pdf;Funcional
170;MON-170;The Clarus system shall allow service providers to select specific desired data sets.;2005 - clarus low.pdf;Funcional
171;MON-171;The Clarus system shall respond to queries for environmental data from the available data.;2005 - clarus low.pdf;Funcional
172;MON-172;The Clarus system shall disseminate data in response to a scheduled request.;2005 - clarus low.pdf;Funcional
173;MON-173;The Clarus system shall collect, quality check, and disseminate environmental data.;2005 - clarus low.pdf;Funcional
